"",001
"Thu 02-Aug-18   3:20:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",0.993815,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.193918,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,2,"",0.919437,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.18502,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,1,3,"",0.868936,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.180624,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,4,"",0.869712,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.175259,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,5,"",0.845587,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.163741,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,6,"",0.924509,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.160967,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,7,"",1.29861,0,0,0,0,0,0,0.263956,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.158943,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,1,8,"",1.72088,0,0,0,0,0,0,0.61844,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.182165,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,1,9,"",1.41815,0,0,0,0,0,0,0.337612,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.228929,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,10,"",1.31425,0,0,0,0,0,0,0.295823,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.216142,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,11,"",1.2757,0,0,0,0,0,0,0.261296,0.0291811,0,0,0,0.100631,0.642931,0.0187536,0.213593,0,0,0,0.00931442,0,0,0,0
"MtrElec",1,1,12,"",1.23301,0,0,0,0,0,0,0.236721,0.0291811,0,0,0,0.0931768,0.633302,0.0125024,0.216987,0,0,0,0.0111368,0,0,0,0
"MtrElec",1,1,13,"",1.18557,0,0,0,0,0,0,0.208114,0.0291811,0,0,0,0.0782685,0.627445,0.00937678,0.220427,0,0,0,0.0127567,0,0,0,0
"MtrElec",1,1,14,"",1.18369,0,0,0,0,0,0,0.185909,0.0291811,0,0,0,0.0782685,0.64629,0.00859538,0.223504,0,0,0,0.0119468,0,0,0,0
"MtrElec",1,1,15,"",1.20361,0,0,0,0,0,0,0.178772,0.0291811,0,0,0,0.0782685,0.677331,0.00859538,0.218908,0,0,0,0.0125542,0,0,0,0
"MtrElec",1,1,16,"",1.26515,0,0,0,0,0,0,0.171459,0.0291811,0,0,0,0.0969038,0.711969,0.00937678,0.232494,0,0,0,0.0137691,0,0,0,0
"MtrElec",1,1,17,"",1.35941,0,0,0,0,0,0,0.165864,0.0291811,0,0,0,0.115539,0.798579,0.0148466,0.216969,0,0,0,0.0184264,0,0,0,0
"MtrElec",1,1,18,"",1.54006,0,0,0,0,0,0,0.153906,0.0291811,0,0,0,0.163991,0.900499,0.0296931,0.234639,0,0,0,0.0281457,0,0,0,0
"MtrElec",1,1,19,"",1.77588,0,0,0,0,0,0,0.137806,0.0291811,0,0,0,0.313074,0.967127,0.0375071,0.26506,0,0,0,0.0261209,0,0,0,0
"MtrElec",1,1,20,"",1.92057,0,0,0,0,0,0,0.132368,0.0291811,0,0,0,0.436067,1.00451,0.0468839,0.256983,0,0,0,0.0145791,0,0,0,0
"MtrElec",1,1,21,"",1.94708,0,0,0,0,0,0,0.138755,0.0291811,0,0,0,0.421159,1.04058,0.064856,0.246074,0,0,0,0.0064796,0,0,0,0
"MtrElec",1,1,22,"",1.88432,0,0,0,0,0,0,0.152533,0.0291811,0,0,0,0.357799,1.02999,0.076577,0.235404,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,1,23,"",1.63583,0,0,0,0,0,0,0.178475,0.0291811,0,0,0,0.234805,0.920937,0.0664188,0.204191,0,0,0,0.00182239,0,0,0,0
"MtrElec",1,1,24,"",1.22873,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.786693,0.0461025,0.220385,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,1,"",0.978816,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.180776,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,2,"",0.906224,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.178574,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,3,"",0.860326,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.169599,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,4,"",0.861079,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.166067,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,5,"",0.838916,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.539276,0.0359443,0.155437,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,6,"",0.913967,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.584078,0.0289117,0.153422,0,0,0,0.00283482,0,0,0,0
