"",001
"Thu 02-Aug-18   3:20:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",0.994072,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.194175,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,2,"",0.919773,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.185356,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,1,3,"",0.869294,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.180981,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,4,"",0.870083,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.175629,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,5,"",0.846029,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.164183,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,6,"",0.925003,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.161461,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,7,"",1.26206,0,0,0,0,0,0,0.226816,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.159543,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,1,8,"",1.70088,0,0,0,0,0,0,0.598308,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.182298,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,1,9,"",1.40721,0,0,0,0,0,0,0.326608,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.228995,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,10,"",1.30696,0,0,0,0,0,0,0.28845,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.216224,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,11,"",1.27161,0,0,0,0,0,0,0.257151,0.0291811,0,0,0,0.100631,0.642931,0.0187536,0.213648,0,0,0,0.00931442,0,0,0,0
"MtrElec",1,1,12,"",1.23079,0,0,0,0,0,0,0.234489,0.0291811,0,0,0,0.0931768,0.633302,0.0125024,0.217003,0,0,0,0.0111368,0,0,0,0
"MtrElec",1,1,13,"",1.18652,0,0,0,0,0,0,0.209091,0.0291811,0,0,0,0.0782685,0.627445,0.00937678,0.220401,0,0,0,0.0127567,0,0,0,0
"MtrElec",1,1,14,"",1.18684,0,0,0,0,0,0,0.189139,0.0291811,0,0,0,0.0782685,0.64629,0.00859538,0.223421,0,0,0,0.0119468,0,0,0,0
"MtrElec",1,1,15,"",1.20519,0,0,0,0,0,0,0.18053,0.0291811,0,0,0,0.0782685,0.677331,0.00859538,0.218732,0,0,0,0.0125542,0,0,0,0
"MtrElec",1,1,16,"",1.26499,0,0,0,0,0,0,0.171434,0.0291811,0,0,0,0.0969038,0.711969,0.00937678,0.232351,0,0,0,0.0137691,0,0,0,0
"MtrElec",1,1,17,"",1.35616,0,0,0,0,0,0,0.162748,0.0291811,0,0,0,0.115539,0.798579,0.0148466,0.216843,0,0,0,0.0184264,0,0,0,0
"MtrElec",1,1,18,"",1.53469,0,0,0,0,0,0,0.148565,0.0291811,0,0,0,0.163991,0.900499,0.0296931,0.234616,0,0,0,0.0281457,0,0,0,0
"MtrElec",1,1,19,"",1.76988,0,0,0,0,0,0,0.131755,0.0291811,0,0,0,0.313074,0.967127,0.0375071,0.26511,0,0,0,0.0261209,0,0,0,0
"MtrElec",1,1,20,"",1.91299,0,0,0,0,0,0,0.124732,0.0291811,0,0,0,0.436067,1.00451,0.0468839,0.257041,0,0,0,0.0145791,0,0,0,0
"MtrElec",1,1,21,"",1.93757,0,0,0,0,0,0,0.129148,0.0291811,0,0,0,0.421159,1.04058,0.064856,0.246165,0,0,0,0.0064796,0,0,0,0
"MtrElec",1,1,22,"",1.87405,0,0,0,0,0,0,0.142067,0.0291811,0,0,0,0.357799,1.02999,0.076577,0.2356,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,1,23,"",1.62438,0,0,0,0,0,0,0.166685,0.0291811,0,0,0,0.234805,0.920937,0.0664188,0.20453,0,0,0,0.00182239,0,0,0,0
"MtrElec",1,1,24,"",1.22896,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.786693,0.0461025,0.22062,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,1,"",0.979355,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.181315,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,2,"",0.906859,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.179208,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,3,"",0.861085,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.170358,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,4,"",0.861906,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.166894,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,5,"",0.83985,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.539276,0.0359443,0.156371,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,6,"",0.915096,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.584078,0.0289117,0.154552,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,2,7,"",1.45749,0,0,0,0,0,0,0.388149,0.0291811,0,0,0,0.156537,0.664831,0.0273489,0.187598,0,0,0,0.00384726,0,0,0,0
"MtrElec",1,2,8,"",1.83289,0,0,0,0,0,0,0.683294,0.0291811,0,0,0,0.15281,0.713887,0.0265675,0.222084,0,0,0,0.00506218,0,0,0,0
"MtrElec",1,2,9,"",1.45879,0,0,0,0,0,0,0.395291,0.0291811,0,0,0,0.12672,0.660905,0.0257861,0.215637,0,0,0,0.00526467,0,0,0,0
"MtrElec",1,2,10,"",1.30461,0,0,0,0,0,0,0.328734,0.0291811,0,0,0,0.108085,0.620371,0.0218791,0.191903,0,0,0,0.00445472,0,0,0,0
"MtrElec",1,2,11,"",1.25546,0,0,0,0,0,0,0.289631,0.0291811,0,0,0,0.100631,0.628275,0.0171908,0.186302,0,0,0,0.00425223,0,0,0,0
