"",001
"Tue 31-Jul-18   4:24:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",0.994031,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.194134,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,2,"",0.919775,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.185358,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,1,3,"",0.86936,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.181048,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,4,"",0.87022,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.175766,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,5,"",0.846249,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.164403,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,6,"",0.925274,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.161732,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,7,"",1.21652,0,0,0,0,0,0,0.180876,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.159938,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,1,8,"",1.6361,0,0,0,0,0,0,0.533584,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.182243,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,1,9,"",1.36773,0,0,0,0,0,0,0.287217,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.228907,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,10,"",1.27362,0,0,0,0,0,0,0.255186,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.216144,0,0,0,0.00971939,0,0,0,0
