"",001
"Tue 31-Jul-18   4:24:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",0.994344,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.194447,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,2,"",0.920227,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.185811,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,1,3,"",0.869866,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.181554,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,4,"",0.870766,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.176312,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,5,"",0.846923,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.165077,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,1,6,"",0.92604,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.162498,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,1,7,"",1.164,0,0,0,0,0,0,0.127404,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.16089,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,1,8,"",1.61223,0,0,0,0,0,0,0.509583,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.182375,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,1,9,"",1.35219,0,0,0,0,0,0,0.271654,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.228932,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,10,"",1.26121,0,0,0,0,0,0,0.242703,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.216224,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,1,11,"",1.22999,0,0,0,0,0,0,0.215535,0.0291811,0,0,0,0.100631,0.642931,0.0187536,0.213646,0,0,0,0.00931442,0,0,0,0
"MtrElec",1,1,12,"",1.1915,0,0,0,0,0,0,0.195204,0.0291811,0,0,0,0.0931768,0.633302,0.0125024,0.217,0,0,0,0.0111368,0,0,0,0
"MtrElec",1,1,13,"",1.14876,0,0,0,0,0,0,0.171336,0.0291811,0,0,0,0.0782685,0.627445,0.00937678,0.220398,0,0,0,0.0127567,0,0,0,0
"MtrElec",1,1,14,"",1.15075,0,0,0,0,0,0,0.153048,0.0291811,0,0,0,0.0782685,0.64629,0.00859538,0.223419,0,0,0,0.0119468,0,0,0,0
"MtrElec",1,1,15,"",1.16991,0,0,0,0,0,0,0.145249,0.0291811,0,0,0,0.0782685,0.677331,0.00859538,0.218732,0,0,0,0.0125542,0,0,0,0
"MtrElec",1,1,16,"",1.23034,0,0,0,0,0,0,0.136786,0.0291811,0,0,0,0.0969038,0.711969,0.00937678,0.232351,0,0,0,0.0137691,0,0,0,0
"MtrElec",1,1,17,"",1.32188,0,0,0,0,0,0,0.128468,0.0291811,0,0,0,0.115539,0.798579,0.0148466,0.216843,0,0,0,0.0184264,0,0,0,0
"MtrElec",1,1,18,"",1.50003,0,0,0,0,0,0,0.113905,0.0291811,0,0,0,0.163991,0.900499,0.0296931,0.234616,0,0,0,0.0281457,0,0,0,0
"MtrElec",1,1,19,"",1.73513,0,0,0,0,0,0,0.0970112,0.0291811,0,0,0,0.313074,0.967127,0.0375071,0.26511,0,0,0,0.0261209,0,0,0,0
"MtrElec",1,1,20,"",1.8783,0,0,0,0,0,0,0.0900383,0.0291811,0,0,0,0.436067,1.00451,0.0468839,0.257041,0,0,0,0.0145791,0,0,0,0
"MtrElec",1,1,21,"",1.90298,0,0,0,0,0,0,0.0945647,0.0291811,0,0,0,0.421159,1.04058,0.064856,0.246165,0,0,0,0.0064796,0,0,0,0
"MtrElec",1,1,22,"",1.8387,0,0,0,0,0,0,0.106725,0.0291811,0,0,0,0.357799,1.02999,0.076577,0.235598,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,1,23,"",1.58858,0,0,0,0,0,0,0.130882,0.0291811,0,0,0,0.234805,0.920937,0.0664188,0.204531,0,0,0,0.00182239,0,0,0,0
"MtrElec",1,1,24,"",1.22897,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.786693,0.0461025,0.220621,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,1,"",0.979715,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.181676,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,2,2,"",0.907421,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.179771,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,3,"",0.861826,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.171098,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,4,"",0.862765,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.167753,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,5,"",0.840942,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0782685,0.539276,0.0359443,0.157463,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,2,6,"",0.916557,0,0,0,0,0,0,0,0.0291811,0,0,0,0.115539,0.584078,0.0289117,0.156012,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,2,7,"",1.33009,0,0,0,0,0,0,0.259422,0.0291811,0,0,0,0.156537,0.664831,0.0273489,0.188922,0,0,0,0.00384726,0,0,0,0
"MtrElec",1,2,8,"",1.73069,0,0,0,0,0,0,0.580967,0.0291811,0,0,0,0.15281,0.713887,0.0265675,0.222215,0,0,0,0.00506218,0,0,0,0
"MtrElec",1,2,9,"",1.39333,0,0,0,0,0,0,0.329892,0.0291811,0,0,0,0.12672,0.660905,0.0257861,0.21558,0,0,0,0.00526467,0,0,0,0
"MtrElec",1,2,10,"",1.25074,0,0,0,0,0,0,0.274869,0.0291811,0,0,0,0.108085,0.620371,0.0218791,0.191904,0,0,0,0.00445472,0,0,0,0
"MtrElec",1,2,11,"",1.20641,0,0,0,0,0,0,0.240573,0.0291811,0,0,0,0.100631,0.628275,0.0171908,0.186303,0,0,0,0.00425223,0,0,0,0
"MtrElec",1,2,12,"",1.169,0,0,0,0,0,0,0.210767,0.0291811,0,0,0,0.0931768,0.628275,0.011721,0.190006,0,0,0,0.00587213,0,0,0,0
"MtrElec",1,2,13,"",1.14637,0,0,0,0,0,0,0.191946,0.0291811,0,0,0,0.0782685,0.628758,0.00937678,0.201755,0,0,0,0.00708706,0,0,0,0
"MtrElec",1,2,14,"",1.9643,0,0,0,0,0,0,0.122359,0.0291811,0,0,0,0.0782685,0.642693,0.00859538,0.194874,0,0,0.881847,0.0064796,0,0,0,0
"MtrElec",1,2,15,"",1.45605,0,0,0,0,0,0,0.09041,0.0291811,0,0,0,0.0782685,0.666083,0.00859538,0.204163,0,0.372466,0,0.00688457,0,0,0,0
"MtrElec",1,2,16,"",1.17397,0,0,0,0,0,0,0.137096,0.0291811,0,0,0,0.0969038,0.686183,0.00937678,0.204699,0,0,0,0.0105293,0,0,0,0
"MtrElec",1,2,17,"",1.40005,0,0,0,0,0,0,0.124271,0.0291811,0,0,0,0.115539,0.77465,0.0148466,0.203723,0,0,0.114549,0.023286,0,0,0,0
"MtrElec",1,2,18,"",2.26854,0,0,0,0,0,0,0.0755697,0.0291811,0,0,0,0.163991,0.890989,0.0289117,0.224804,0,0.0483819,0.767631,0.0390801,0,0,0,0
"MtrElec",1,2,19,"",2.01814,0,0,0,0,0,0,0.0584232,0.0291811,0,0,0,0.313074,0.968866,0.0382885,0.249635,0,0.324224,0,0.0364477,0,0,0,0
"MtrElec",1,2,20,"",1.92394,0,0,0,0,0,0,0.114314,0.0291811,0,0,0,0.436067,1.01762,0.0507909,0.256128,0,0,0,0.0198438,0,0,0,0
"MtrElec",1,2,21,"",1.95392,0,0,0,0,0,0,0.125522,0.0291811,0,0,0,0.421159,1.06002,0.0711072,0.238426,0,0,0,0.00850447,0,0,0,0
"MtrElec",1,2,22,"",1.89018,0,0,0,0,0,0,0.143536,0.0291811,0,0,0,0.357799,1.05129,0.0820468,0.222276,0,0,0,0.00404975,0,0,0,0
"MtrElec",1,2,23,"",1.64427,0,0,0,0,0,0,0.169598,0.0291811,0,0,0,0.234805,0.932305,0.0711072,0.204843,0,0,0,0.00242985,0,0,0,0
"MtrElec",1,2,24,"",1.20528,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.801007,0.0492281,0.178485,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,3,1,"",0.990132,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.190235,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,3,2,"",0.91519,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.180773,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,3,3,"",0.863632,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.175319,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,3,4,"",0.863426,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.168972,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,3,5,"",0.839813,0,0,0,0,0,0,0.00250821,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.15546,0,0,0,0.000607462,0,0,0,0
